3.4,-5.6;4.9,-6.2;6.2,-6.9
5.7,-7.0;7.1,-7.5;8.8,-7.7
9.5,-7.6;10.9,-8.6;12.4,-9.2;13.9,-9.4;15.5,-9.4;14.6,-10.9;13.7,-12.4;12.7,-14.1;12.0,-15.8;11.6,-17.6;11.7,-19.4;12.4,-21.2
12.4,-22.2;12.7,-23.2
12.1,-23.3;12.4,-24.0
10.9,-24.8;10.7,-25.9
10.2,-25.5;11.0,-26.2;12.1,-26.6
9.4,-26.6;8.4,-27.9;7.4,-29.7;6.4,-31.6;5.4,-33.4;4.3,-34.8;3.1,-35.7;1.7,-35.8;0.7,-34.5;-0.7,-34.1
-1.7,-33.2;-0.3,-34.0;0.8,-35.2
0.9,-36.1;-0.8,-35.7;-2.7,-35.5;-4.5,-35.8;-5.8,-36.9;-5.8,-36.9;-3.9,-36.3;-2.0,-36.6;-0.1,-37.2;1.8,-37.4
0.8,-39.2;-0.8,-40.0
7.8,-30.4;8.4,-31.3
13.7,-22.7;14.3,-23.6;15.3,-23.8
14.4,-21.8;13.9,-22.5
15.1,-20.1;15.9,-21.5;17.0,-22.5
18.8,-22.0;17.5,-23.3
19.2,-22.8;17.9,-24.5;16.5,-25.9;14.9,-27.1;13.3,-28.2;11.8,-29.3;10.3,-30.6;9.1,-32.2;8.1,-34.1;6.8,-35.6;5.4,-36.8;3.8,-37.7;2.2,-38.3;0.4,-38.8;-1.3,-39.0;-3.1,-39.1
-18.0,-33.3;-17.8,-34.4
-19.0,-34.5;-18.4,-35.3;-17.2,-34.2;-17.3,-32.7;-18.6,-30.8;-20.0,-30.2;-21.4,-30.6;-23.0,-31.4;-24.7,-32.3
-25.8,-29.5;-24.9,-31.4;-25.1,-32.9
-20.9,-32.6;-22.6,-34.9;-23.8,-36.4;-24.8,-37.2;-25.8,-37.1;-27.0,-36.0;-28.9,-33.7
-33.1,-31.8;-33.3,-35.6
-35.0,-32.4;-35.6,-34.3;-36.6,-36.0;-37.8,-37.5;-39.2,-38.5;-40.7,-38.7
-35.9,-32.1;-36.4,-33.5;-37.0,-34.9;-38.0,-36.0
-36.2,-30.7;-37.3,-32.0;-38.6,-33.0;-40.1,-34.0;-41.3,-35.1;-42.3,-36.5;-42.5,-38.3
-34.2,-30.1;-34.3,-31.9;-34.1,-34.1;-33.7,-36.4;-33.1,-38.5;-32.2,-39.8;-31.0,-40.2
-33.0,-30.4;-32.0,-32.0;-30.9,-33.7;-29.9,-35.6;-29.2,-37.4;-28.9,-39.4;-29.3,-41.3
-30.1,-29.2;-30.1,-30.4;-30.0,-31.5
-28.9,-28.4;-28.4,-29.8
-28.8,-28.1;-29.4,-29.4;-29.5,-31.0;-30.6,-32.0
-29.8,-27.5;-29.1,-28.4
-29.3,-26.9;-28.5,-28.1
-28.9,-26.6;-28.0,-25.9;-27.7,-24.8;-29.0,-25.5;-30.6,-25.8;-30.9,-24.7;-30.7,-22.7;-31.7,-22.1
